Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
108,0.000745317130012248,2.08694382391014e-08,0.999999823593828,0
109,0.000724314025789788,1.97098057061245e-08,0.999999843303633,0
110,0.000712739611442661,1.90849200487691e-08,0.999999862388554,0
111,0.000690552916940334,1.79152338401095e-08,0.999999880303787,0
112,0.00065011442925612,1.58784521124565e-08,0.99999989618224,0
113,0.000633832967554564,1.50930913925356e-08,0.999999911275331,0
114,0.000616944805565949,1.42995106982286e-08,0.999999925574842,0
115,0.00060381494969238,1.36973412526893e-08,0.999999939272183,0
116,0.000586386307444828,1.29180271901965e-08,0.99999995219021,0
117,0.000573306628032942,1.23481665469464e-08,0.999999964538377,0
118,0.000557780660957848,1.16884105663423e-08,0.999999976226787,0
119,0.000509606136219158,9.75658540430825e-09,0.999999985983373,0
120,0.000456154650626877,7.8172277848443e-09,0.9999999938006,0
121,0.000406219294832159,6.19939985573137e-09,1,0
